frequency [Hz],output p-p [V],input p-p [V],Gain (o/i)
999.987,1.12,0.118,9.491525424
999.987,1.12,0.12,9.333333333
999.987,1.12,0.118,9.491525424
999.987,1.12,0.118,9.491525424
999.987,1.12,0.12,9.333333333
9999.82,1.12,0.126,8.888888889
9999.82,1.14,0.126,9.047619048
9999.82,1.14,0.128,8.90625
9999.82,1.14,0.126,9.047619048
9999.82,1.12,0.126,8.888888889
99999.4,1.14,0.126,9.047619048
99999.4,1.12,0.122,9.180327869
99999.4,1.12,0.12,9.333333333
99999.4,1.14,0.12,9.5
99999.4,1.14,0.124,9.193548387
999995,0.46,0.12,3.833333333
999995,0.46,0.122,3.770491803
999995,0.46,0.122,3.770491803
999995,0.46,0.122,3.770491803
999995,0.46,0.124,3.709677419
1099990,0.352,0.12,2.933333333
1099990,0.344,0.118,2.915254237
1099990,0.344,0.118,2.915254237
1099990,0.344,0.116,2.965517241
1099990,0.352,0.12,2.933333333
1199990,0.296,0.116,2.551724138
1199990,0.296,0.118,2.508474576
1199990,0.304,0.116,2.620689655
1199990,0.288,0.118,2.440677966
1199990,0.296,0.116,2.551724138
1299990,0.256,0.118,2.169491525
1299990,0.264,0.118,2.237288136
1299990,0.264,0.116,2.275862069
1299990,0.264,0.118,2.237288136
1299990,0.264,0.122,2.163934426
1399990,0.224,0.12,1.866666667
1399990,0.224,0.12,1.866666667
1399990,0.232,0.118,1.966101695
1399990,0.232,0.12,1.933333333
1399990,0.224,0.116,1.931034483
1499990,0.2,0.114,1.754385965
1499990,0.192,0.122,1.573770492
1499990,0.192,0.12,1.6
1499990,0.2,0.118,1.694915254
1499990,0.2,0.12,1.666666667
1599990,0.168,0.118,1.423728814
1599990,0.16,0.118,1.355932203
1599990,0.168,0.12,1.4
1599990,0.168,0.118,1.423728814
1599990,0.176,0.118,1.491525424
1699990,0.152,0.122,1.245901639
1699990,0.152,0.122,1.245901639
1699990,0.144,0.12,1.2
1699990,0.144,0.122,1.180327869
1699990,0.152,0.12,1.266666667
1799990,0.128,0.118,1.084745763
1799990,0.136,0.122,1.114754098
1799990,0.128,0.12,1.066666667
1799990,0.128,0.12,1.066666667
1799990,0.136,0.118,1.152542373
1999990,0.096,0.116,0.827586207
1999990,0.096,0.116,0.827586207
1999990,0.104,0.116,0.896551724
1999990,0.096,0.118,0.813559322
1999990,0.104,0.116,0.896551724
199999,1.16,0.122,9.508196721
199999,1.18,0.122,9.672131148
199999,1.16,0.122,9.508196721
199999,1.16,0.122,9.508196721
199999,1.16,0.122,9.508196721
399998,1.22,0.12,10.16666667
399998,1.22,0.12,10.16666667
399998,1.24,0.122,10.16393443
399998,1.2,0.12,10
399998,1.22,0.122,10
599997,0.92,0.122,7.540983607
599997,0.92,0.12,7.666666667
599997,0.96,0.122,7.868852459
599997,0.94,0.122,7.704918033
599997,0.96,0.122,7.868852459
699997,0.78,0.122,6.393442623
699997,0.76,0.122,6.229508197
699997,0.76,0.122,6.229508197
699997,0.78,0.122,6.393442623
699997,0.78,0.124,6.290322581
799997,0.64,0.122,5.245901639
799997,0.62,0.12,5.166666667
799997,0.64,0.122,5.245901639
799997,0.64,0.12,5.333333333
799997,0.64,0.12,5.333333333
899996,0.52,0.122,4.262295082
899996,0.54,0.122,4.426229508
899996,0.54,0.122,4.426229508
899996,0.52,0.12,4.333333333
899996,0.54,0.122,4.426229508
