frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
999.991,2200,118,18.6440678
999.991,2200,118,18.6440678
999.991,2200,118,18.6440678
999.991,2240,118,18.98305085
999.991,2200,118,18.6440678
9999.85,2240,126,17.77777778
9999.85,2240,126,17.77777778
9999.85,2240,124,18.06451613
9999.85,2240,126,17.77777778
9999.85,2240,126,17.77777778
99999.6,2240,126,17.77777778
99999.6,2200,122,18.03278689
99999.6,2240,124,18.06451613
99999.6,2200,122,18.03278689
99999.6,2200,126,17.46031746
199999,2160,126,17.14285714
199999,2200,124,17.74193548
199999,2200,124,17.74193548
199999,2160,126,17.14285714
199999,2160,124,17.41935484
399999,1680,122,13.7704918
399999,1640,122,13.44262295
399999,1680,122,13.7704918
399999,1640,122,13.44262295
399999,1680,122,13.7704918
599998,1080,124,8.709677419
599998,1080,122,8.852459016
599998,1080,124,8.709677419
599998,1080,126,8.571428571
599998,1080,122,8.852459016
699998,920,124,7.419354839
699998,920,124,7.419354839
699998,920,126,7.301587302
699998,920,122,7.540983607
699998,920,126,7.301587302
800352,760,122,6.229508197
800352,760,124,6.129032258
800352,800,126,6.349206349
800352,800,122,6.557377049
800352,800,124,6.451612903
900887,640,124,5.161290323
900887,640,126,5.079365079
900887,640,122,5.245901639
900887,640,124,5.161290323
900887,640,122,5.245901639
1000403,560,122,4.590163934
1000403,560,124,4.516129032
1000403,560,122,4.590163934
1000403,560,122,4.590163934
1000403,560,122,4.590163934
1503340,280,122,2.295081967
1503340,280,126,2.222222222
1503340,280,122,2.295081967
1503340,280,122,2.295081967
1503340,280,124,2.258064516
2000060,160,120,1.333333333
2000060,200,122,1.639344262
2000060,160,120,1.333333333
2000060,160,122,1.31147541
2000060,200,124,1.612903226
2500110,160,124,1.290322581
2500110,120,122,0.983606557
2500110,120,122,0.983606557
2500110,80,124,0.64516129
2500110,120,126,0.952380952
