frequency [Hz],actual phase diff [degree],set phase diff [degree],tuning,Gain (o/i)
10,121.8,45,121.8,76.8
10,120.5,45,120.5,75.5
10,120.8,45,120.8,75.8
50,-30.35,45,-30.35,-75.35
50,-31.96,45,-31.96,-76.96
50,-31.22,45,-31.22,-76.22
100,-100.9,45,-100.9,-145.9
100,-102,45,-102,-147
100,-101.3,45,-101.3,-146.3
300,148.3,45,-211.7,-256.7
300,149.1,45,-210.9,-255.9
300,149.4,45,-210.6,-255.6
600,108.4,45,-251.6,-296.6
600,107.3,45,-252.7,-297.7
600,109.2,45,-250.8,-295.8
1000,37.77,45,-322.23,-367.23
1000,36.52,45,-323.48,-368.48
1000,36.69,45,-323.31,-368.31
3000,-52.32,45,-412.32,-457.32
3000,-50.66,45,-410.66,-455.66
3000,-48.52,45,-408.52,-453.52
6000,-82.12,45,-442.12,-487.12
6000,-82.31,45,-442.31,-487.31
6000,-80.28,45,-440.28,-485.28
10000,-107.4,45,-467.4,-512.4
10000,-109.2,45,-469.2,-514.2
10000,-108,45,-468,-513
30000,-154.1,45,-514.1,-559.1
30000,-153,45,-513,-558
30000,-151.3,45,-511.3,-556.3
60000,-171.6,45,-531.6,-576.6
60000,-170.3,45,-530.3,-575.3
60000,-170.7,45,-530.7,-575.7
100000,178.3,45,-541.7,-586.7
100000,177,45,-543,-588
100000,177.7,45,-542.3,-587.3
300000,42.77,45,-677.23,-722.23
300000,44.57,45,-675.43,-720.43
300000,42.72,45,-677.28,-722.28
600000,-93.06,45,-813.06,-858.06
600000,-87.84,45,-807.84,-852.84
600000,-90.43,45,-810.43,-855.43
1000000,-123.4,45,-843.4,-888.4
1000000,-119.3,45,-839.3,-884.3
1000000,-135.3,45,-855.3,-900.3
