frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
0.1,182,118,1.542372881
0.1,182,118,1.542372881
0.1,178,118,1.508474576
0.3,182,118,1.542372881
0.3,182,118,1.542372881
0.3,180,118,1.525423729
0.6,186,120,1.55
0.6,182,118,1.542372881
0.6,182,118,1.542372881
1,186,118,1.576271186
1,192,118,1.627118644
1,192,118,1.627118644
3,156,118,1.322033898
3,156,118,1.322033898
3,156,118,1.322033898
6,116,118,0.983050847
6,120,118,1.016949153
6,128,118,1.084745763
10,112,118,0.949152542
10,110,118,0.93220339
10,106,118,0.898305085
30,92,118,0.779661017
30,84,118,0.711864407
30,84,118,0.711864407
60,88,118,0.745762712
60,88,116,0.75862069
60,86,116,0.74137931
100,82,118,0.694915254
100,88,118,0.745762712
100,88,118,0.745762712
300,88,118,0.745762712
300,84,118,0.711864407
300,82,118,0.694915254
