Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,26040
Sample Interval,52.08
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
0.0000e+00,-38.2375
5.2080e+01,-39.2875
1.0416e+02,-40.3344
1.5624e+02,-51.5406
2.0832e+02,-62.7469
2.6040e+02,-61.0594
3.1248e+02,-59.3688
3.6456e+02,-60.6531
4.1664e+02,-61.9344
4.6872e+02,-59.3312
5.2080e+02,-56.725
5.7288e+02,-60.8875
6.2496e+02,-65.05
6.7704e+02,-64.4813
7.2912e+02,-63.9125
7.8120e+02,-64.4813
8.3328e+02,-65.05
8.8536e+02,-65.2812
9.3744e+02,-65.5094
9.8952e+02,-66.7844
1.0416e+03,-68.0594
1.0937e+03,-68.5469
1.1458e+03,-69.0312
1.1978e+03,-67.2719
1.2499e+03,-65.5094
1.3020e+03,-66.7844
1.3541e+03,-68.0594
1.4062e+03,-68.5469
1.4582e+03,-69.0312
1.5103e+03,-66.5563
1.5624e+03,-64.0812
1.6145e+03,-66.5563
1.6666e+03,-69.0312
1.7186e+03,-69.0312
1.7707e+03,-69.0312
1.8228e+03,-68.5469
1.8749e+03,-68.0594
1.9270e+03,-68.5469
1.9790e+03,-69.0312
2.0311e+03,-67.0406
2.0832e+03,-65.05
2.1353e+03,-68.0625
2.1874e+03,-71.0719
2.2394e+03,-68.9969
2.2915e+03,-66.9219
2.3436e+03,-68.9969
2.3957e+03,-71.0719
2.4478e+03,-68.9969
2.4998e+03,-66.9219
2.5519e+03,-67.9781
2.6040e+03,-69.0312
2.6561e+03,-67.9781
2.7082e+03,-66.9219
2.7602e+03,-67.9781
2.8123e+03,-69.0312
2.8644e+03,-69.0312
2.9165e+03,-69.0312
2.9686e+03,-67.0406
3.0206e+03,-65.05
3.0727e+03,-65.2812
3.1248e+03,-65.5094
3.1769e+03,-66.7844
3.2290e+03,-68.0594
3.2810e+03,-67.4906
3.3331e+03,-66.9219
3.3852e+03,-66.9219
3.4373e+03,-66.9219
3.4894e+03,-66.3406
3.5414e+03,-65.7562
3.5935e+03,-68.4156
3.6456e+03,-71.0719
3.6977e+03,-70.0531
3.7498e+03,-69.0312
3.8018e+03,-67.9781
3.8539e+03,-66.9219
3.9060e+03,-66.2156
3.9581e+03,-65.5094
4.0102e+03,-67.0156
4.0622e+03,-68.5187
4.1143e+03,-65.9781
4.1664e+03,-63.4375
4.2185e+03,-64.2438
4.2706e+03,-65.05
4.3226e+03,-68.0625
4.3747e+03,-71.0719
4.4268e+03,-70.0531
4.4789e+03,-69.0312
4.5310e+03,-69.0312
4.5830e+03,-69.0312
4.6351e+03,-67.0406
4.6872e+03,-65.05
4.7393e+03,-67.0406
4.7914e+03,-69.0312
4.8434e+03,-69.0312
4.8955e+03,-69.0312
4.9476e+03,-70.0531
4.9997e+03,-71.0719
5.0518e+03,-68.9969
5.1038e+03,-66.9219
5.1559e+03,-67.9781
5.2080e+03,-69.0312
5.2601e+03,-68.5469
5.3122e+03,-68.0594
5.3642e+03,-68.0594
5.4163e+03,-68.0594
5.4684e+03,-67.0406
5.5205e+03,-66.0187
5.5726e+03,-65.8875
5.6246e+03,-65.7562
5.6767e+03,-66.3406
5.7288e+03,-66.9219
5.7809e+03,-66.9219
5.8330e+03,-66.9219
5.8850e+03,-66.9219
5.9371e+03,-66.9219
5.9892e+03,-72.4906
6.0413e+03,-78.0594
6.0934e+03,-73.5469
6.1454e+03,-69.0312
6.1975e+03,-69.0312
6.2496e+03,-69.0312
6.3017e+03,-73.5469
6.3538e+03,-78.0594
6.4058e+03,-71.0719
6.4579e+03,-64.0812
6.5100e+03,-67.5781
6.5621e+03,-71.0719
6.6142e+03,-71.0719
6.6662e+03,-71.0719
6.7183e+03,-70.0531
6.7704e+03,-69.0312
6.8225e+03,-70.0531
6.8746e+03,-71.0719
6.9266e+03,-70.0531
6.9787e+03,-69.0312
7.0308e+03,-67.9781
7.0829e+03,-66.9219
7.1350e+03,-67.9781
7.1870e+03,-69.0312
7.2391e+03,-72.0406
7.2912e+03,-75.05
7.3433e+03,-72.0406
7.3954e+03,-69.0312
7.4474e+03,-70.5375
7.4995e+03,-72.0406
7.5516e+03,-70.5375
7.6037e+03,-69.0312
7.6558e+03,-70.0531
7.7078e+03,-71.0719
7.7599e+03,-73.0625
7.8120e+03,-75.05
7.8641e+03,-73.0625
7.9162e+03,-71.0719
7.9682e+03,-71.0719
8.0203e+03,-71.0719
8.0724e+03,-71.5563
8.1245e+03,-72.0406
8.1766e+03,-68.9
8.2286e+03,-65.7562
8.2807e+03,-70.4031
8.3328e+03,-75.05
8.3849e+03,-70.2812
8.4370e+03,-65.5094
8.4890e+03,-68.2906
8.5411e+03,-71.0719
8.5932e+03,-71.0719
8.6453e+03,-71.0719
8.6974e+03,-71.0719
8.7494e+03,-71.0719
8.8015e+03,-68.2906
8.8536e+03,-65.5094
8.9057e+03,-71.7844
8.9578e+03,-78.0594
9.0098e+03,-72.4906
9.0619e+03,-66.9219
9.1140e+03,-67.4906
9.1661e+03,-68.0594
9.2182e+03,-70.05
9.2702e+03,-72.0406
9.3223e+03,-70.05
9.3744e+03,-68.0594
9.4265e+03,-69.5656
9.4786e+03,-71.0719
9.5306e+03,-70.0531
9.5827e+03,-69.0312
9.6348e+03,-70.5375
9.6869e+03,-72.0406
9.7390e+03,-69.4813
9.7910e+03,-66.9219
9.8431e+03,-70.9875
9.8952e+03,-75.05
9.9473e+03,-70.9875
9.9994e+03,-66.9219
1.0051e+04,-72.4906
1.0104e+04,-78.0594
1.0156e+04,-72.4906
1.0208e+04,-66.9219
1.0260e+04,-68.9969
1.0312e+04,-71.0719
1.0364e+04,-71.0719
1.0416e+04,-71.0719
1.0468e+04,-71.5563
1.0520e+04,-72.0406
1.0572e+04,-68.5469
1.0624e+04,-65.05
1.0676e+04,-71.5563
1.0728e+04,-78.0594
1.0781e+04,-72.4906
1.0833e+04,-66.9219
1.0885e+04,-70.9875
1.0937e+04,-75.05
1.0989e+04,-73.0625
1.1041e+04,-71.0719
1.1093e+04,-69.7969
1.1145e+04,-68.5187
1.1197e+04,-68.2906
1.1249e+04,-68.0594
1.1301e+04,-69.5656
1.1353e+04,-71.0719
1.1406e+04,-73.0625
1.1458e+04,-75.05
1.1510e+04,-72.0406
1.1562e+04,-69.0312
1.1614e+04,-70.5375
1.1666e+04,-72.0406
1.1718e+04,-70.05
1.1770e+04,-68.0594
1.1822e+04,-68.0594
1.1874e+04,-68.0594
1.1926e+04,-68.5469
1.1978e+04,-69.0312
1.2030e+04,-70.5375
1.2083e+04,-72.0406
1.2135e+04,-70.5375
1.2187e+04,-69.0312
1.2239e+04,-70.0531
1.2291e+04,-71.0719
1.2343e+04,-70.0531
1.2395e+04,-69.0312
1.2447e+04,-68.5469
1.2499e+04,-68.0594
1.2551e+04,-68.0594
1.2603e+04,-68.0594
1.2655e+04,-69.5656
1.2708e+04,-71.0719
1.2760e+04,-71.5563
1.2812e+04,-72.0406
1.2864e+04,-70.5375
1.2916e+04,-69.0312
1.2968e+04,-67.9781
1.3020e+04,-66.9219
1.3072e+04,-69.4813
1.3124e+04,-72.0406
1.3176e+04,-70.05
1.3228e+04,-68.0594
1.3280e+04,-68.5469
1.3332e+04,-69.0312
1.3385e+04,-70.0531
1.3437e+04,-71.0719
1.3489e+04,-69.5656
1.3541e+04,-68.0594
