Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260400
Sample Interval,520.8
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
0.0000e+00,-38.6969
5.2080e+02,-39.6812
1.0416e+03,-40.6625
1.5624e+03,-54.5906
2.0832e+03,-68.5187
2.6040e+03,-64.3625
3.1248e+03,-60.2062
3.6456e+03,-64.1344
4.1664e+03,-68.0594
4.6872e+03,-69.5656
5.2080e+03,-71.0719
5.7288e+03,-67.2562
6.2496e+03,-63.4375
6.7704e+03,-61.4031
7.2912e+03,-59.3688
7.8120e+03,-65.2219
8.3328e+03,-71.0719
8.8536e+03,-66.0719
9.3744e+03,-61.0719
9.8952e+03,-60.9875
1.0416e+04,-60.9
1.0937e+04,-66.4719
1.1458e+04,-72.0406
1.1978e+04,-70.05
1.2499e+04,-68.0594
1.3020e+04,-68.2906
1.3541e+04,-68.5187
1.4062e+04,-64.225
1.4582e+04,-59.9313
1.5103e+04,-62.975
1.5624e+04,-66.0187
1.6145e+04,-66.0187
1.6666e+04,-66.0187
1.7186e+04,-65.05
1.7707e+04,-64.0812
1.8228e+04,-67.5781
1.8749e+04,-71.0719
1.9270e+04,-71.0719
1.9790e+04,-71.0719
2.0311e+04,-67.2562
2.0832e+04,-63.4375
2.1353e+04,-67.7406
2.1874e+04,-72.0406
2.2394e+04,-66.4719
2.2915e+04,-60.9
2.3436e+04,-69.4813
2.3957e+04,-78.0594
2.4478e+04,-71.5563
2.4998e+04,-65.05
2.5519e+04,-63.7156
2.6040e+04,-62.3781
2.6561e+04,-67.2094
2.7082e+04,-72.0406
2.7602e+04,-69.0312
2.8123e+04,-66.0187
2.8644e+04,-65.05
2.9165e+04,-64.0812
2.9686e+04,-65.5031
3.0206e+04,-66.9219
3.0727e+04,-65.5031
3.1248e+04,-64.0812
3.1769e+04,-69.5656
3.2290e+04,-75.05
3.2810e+04,-67.975
3.3331e+04,-60.9
3.3852e+04,-63.4594
3.4373e+04,-66.0187
3.4894e+04,-64.2594
3.5414e+04,-62.4969
3.5935e+04,-67.2687
3.6456e+04,-72.0406
3.6977e+04,-67.7406
3.7498e+04,-63.4375
3.8018e+04,-64.5969
3.8539e+04,-65.7562
3.9060e+04,-68.4156
3.9581e+04,-71.0719
4.0102e+04,-67.4938
4.0622e+04,-63.9125
4.1143e+04,-64.9656
4.1664e+04,-66.0187
4.2185e+04,-65.05
4.2706e+04,-64.0812
4.3226e+04,-68.0625
4.3747e+04,-72.0406
4.4268e+04,-70.05
4.4789e+04,-68.0594
4.5310e+04,-66.5563
4.5830e+04,-65.05
4.6351e+04,-65.4031
4.6872e+04,-65.7562
4.7393e+04,-67.3937
4.7914e+04,-69.0312
4.8434e+04,-66.5563
4.8955e+04,-64.0812
4.9476e+04,-71.0719
4.9997e+04,-78.0594
5.0518e+04,-71.0719
5.1038e+04,-64.0812
5.1559e+04,-64.9188
5.2080e+04,-65.7562
5.2601e+04,-71.9094
5.3122e+04,-78.0594
5.3642e+04,-70.75
5.4163e+04,-63.4375
5.4684e+04,-69.2438
5.5205e+04,-75.05
5.5726e+04,-69.5656
5.6246e+04,-64.0812
5.6767e+04,-68.0625
5.7288e+04,-72.0406
5.7809e+04,-67.525
5.8330e+04,-63.0094
5.8850e+04,-70.5344
5.9371e+04,-78.0594
5.9892e+04,-70.75
6.0413e+04,-63.4375
6.0934e+04,-66.2344
6.1454e+04,-69.0312
6.1975e+04,-73.5469
6.2496e+04,-78.0594
6.3017e+04,-73.5469
6.3538e+04,-69.0312
6.4058e+04,-70.5375
6.4579e+04,-72.0406
6.5100e+04,-68.0625
6.5621e+04,-64.0812
6.6142e+04,-68.0625
6.6662e+04,-72.0406
6.7183e+04,-69.4813
6.7704e+04,-66.9219
6.8225e+04,-67.4906
6.8746e+04,-68.0594
6.9266e+04,-73.0594
6.9787e+04,-78.0594
7.0308e+04,-71.5563
7.0829e+04,-65.05
7.1350e+04,-65.5344
7.1870e+04,-66.0187
7.2391e+04,-67.2687
7.2912e+04,-68.5187
7.3433e+04,-68.2906
7.3954e+04,-68.0594
7.4474e+04,-68.2906
7.4995e+04,-68.5187
7.5516e+04,-69.7969
7.6037e+04,-71.0719
7.6558e+04,-74.5656
7.7078e+04,-78.0594
7.7599e+04,-76.5563
7.8120e+04,-75.05
7.8641e+04,-68.9
7.9162e+04,-62.7469
7.9682e+04,-67.3937
8.0203e+04,-72.0406
8.0724e+04,-68.0625
8.1245e+04,-64.0812
8.1766e+04,-71.0719
8.2286e+04,-78.0594
8.2807e+04,-70.05
8.3328e+04,-62.0406
8.3849e+04,-68.5469
8.4370e+04,-75.05
8.4890e+04,-67.6281
8.5411e+04,-60.2062
8.5932e+04,-66.125
8.6453e+04,-72.0406
8.6974e+04,-73.5469
8.7494e+04,-75.05
8.8015e+04,-69.2438
8.8536e+04,-63.4375
8.9057e+04,-63.7594
8.9578e+04,-64.0812
9.0098e+04,-66.0719
9.0619e+04,-68.0594
9.1140e+04,-73.0594
9.1661e+04,-78.0594
9.2182e+04,-72.4906
9.2702e+04,-66.9219
9.3223e+04,-70.9875
9.3744e+04,-75.05
9.4265e+04,-70.9875
9.4786e+04,-66.9219
9.5306e+04,-72.4906
9.5827e+04,-78.0594
9.6348e+04,-71.7844
9.6869e+04,-65.5094
9.7390e+04,-70.2812
9.7910e+04,-75.05
9.8431e+04,-73.0625
9.8952e+04,-71.0719
9.9473e+04,-73.0625
9.9994e+04,-75.05
1.0051e+05,-70.4031
1.0104e+05,-65.7562
1.0156e+05,-66.9094
1.0208e+05,-68.0594
1.0260e+05,-73.0594
1.0312e+05,-78.0594
1.0364e+05,-74.5656
1.0416e+05,-71.0719
1.0468e+05,-71.0719
1.0520e+05,-71.0719
1.0572e+05,-69.5656
1.0624e+05,-68.0594
1.0676e+05,-73.0594
1.0728e+05,-78.0594
1.0781e+05,-70.2781
1.0833e+05,-62.4969
1.0885e+05,-67.2687
1.0937e+05,-72.0406
1.0989e+05,-75.05
1.1041e+05,-78.0594
1.1093e+05,-71.0719
1.1145e+05,-64.0812
1.1197e+05,-68.0625
1.1249e+05,-72.0406
1.1301e+05,-68.0625
1.1353e+05,-64.0812
1.1406e+05,-65.05
1.1458e+05,-66.0187
1.1510e+05,-70.5344
1.1562e+05,-75.05
1.1614e+05,-72.0406
1.1666e+05,-69.0312
1.1718e+05,-68.5469
1.1770e+05,-68.0594
1.1822e+05,-70.05
1.1874e+05,-72.0406
1.1926e+05,-70.05
1.1978e+05,-68.0594
1.2030e+05,-68.2906
1.2083e+05,-68.5187
1.2135e+05,-70.2812
1.2187e+05,-72.0406
1.2239e+05,-69.4813
1.2291e+05,-66.9219
1.2343e+05,-68.9969
1.2395e+05,-71.0719
1.2447e+05,-68.0625
1.2499e+05,-65.05
1.2551e+05,-71.5563
1.2603e+05,-78.0594
1.2655e+05,-72.0406
1.2708e+05,-66.0187
1.2760e+05,-67.525
1.2812e+05,-69.0312
1.2864e+05,-73.5469
1.2916e+05,-78.0594
1.2968e+05,-71.9094
1.3020e+05,-65.7562
1.3072e+05,-64.9188
1.3124e+05,-64.0812
1.3176e+05,-67.5781
1.3228e+05,-71.0719
1.3280e+05,-68.2906
1.3332e+05,-65.5094
1.3385e+05,-70.2812
1.3437e+05,-75.05
1.3489e+05,-68.9
1.3541e+05,-62.7469
1.3593e+05,-64.8344
