Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260.4
Sample Interval,0.5208
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
0.0000e+00,-39.175
5.2080e-01,-40.2875
1.0416e+00,-41.4
1.5624e+00,-53.4562
2.0832e+00,-65.5094
2.6040e+00,-65.5094
3.1248e+00,-65.5094
3.6456e+00,-66.2156
4.1664e+00,-66.9219
4.6872e+00,-66.2156
5.2080e+00,-65.5094
5.7288e+00,-66.7844
6.2496e+00,-68.0594
6.7704e+00,-66.0719
7.2912e+00,-64.0812
7.8120e+00,-65.5031
8.3328e+00,-66.9219
8.8536e+00,-66.9219
9.3744e+00,-66.9219
9.8952e+00,-65.5031
1.0416e+01,-64.0812
1.0937e+01,-66.5563
1.1458e+01,-69.0312
1.1978e+01,-69.0312
1.2499e+01,-69.0312
1.3020e+01,-69.0312
1.3541e+01,-69.0312
1.4062e+01,-67.9781
1.4582e+01,-66.9219
1.5103e+01,-65.9875
1.5624e+01,-65.05
1.6145e+01,-68.0625
1.6666e+01,-71.0719
1.7186e+01,-68.9969
1.7707e+01,-66.9219
1.8228e+01,-66.9219
1.8749e+01,-66.9219
1.9270e+01,-68.9969
1.9790e+01,-71.0719
2.0311e+01,-69.5656
2.0832e+01,-68.0594
2.1353e+01,-67.4906
2.1874e+01,-66.9219
2.2394e+01,-66.9219
2.2915e+01,-66.9219
2.3436e+01,-66.9219
2.3957e+01,-66.9219
2.4478e+01,-66.9219
2.4998e+01,-66.9219
2.5519e+01,-68.9969
2.6040e+01,-71.0719
2.6561e+01,-68.0625
2.7082e+01,-65.05
2.7602e+01,-66.5563
2.8123e+01,-68.0594
2.8644e+01,-68.5469
2.9165e+01,-69.0312
2.9686e+01,-67.2719
3.0206e+01,-65.5094
3.0727e+01,-68.2906
3.1248e+01,-71.0719
3.1769e+01,-68.9969
3.2290e+01,-66.9219
3.2810e+01,-66.9219
3.3331e+01,-66.9219
3.3852e+01,-66.9219
3.4373e+01,-66.9219
3.4894e+01,-66.9219
3.5414e+01,-66.9219
3.5935e+01,-67.9781
3.6456e+01,-69.0312
3.6977e+01,-70.0531
3.7498e+01,-71.0719
3.8018e+01,-68.2906
3.8539e+01,-65.5094
3.9060e+01,-67.2719
3.9581e+01,-69.0312
4.0102e+01,-69.0312
4.0622e+01,-69.0312
4.1143e+01,-69.0312
4.1664e+01,-69.0312
4.2185e+01,-67.9781
4.2706e+01,-66.9219
4.3226e+01,-66.3406
4.3747e+01,-65.7562
4.4268e+01,-68.9
4.4789e+01,-72.0406
4.5310e+01,-69.4813
4.5830e+01,-66.9219
4.6351e+01,-68.9969
4.6872e+01,-71.0719
4.7393e+01,-68.2906
4.7914e+01,-65.5094
4.8434e+01,-66.2156
4.8955e+01,-66.9219
4.9476e+01,-67.9781
4.9997e+01,-69.0312
5.0518e+01,-72.0406
5.1038e+01,-75.05
5.1559e+01,-71.5563
5.2080e+01,-68.0594
5.2601e+01,-67.4906
5.3122e+01,-66.9219
5.3642e+01,-68.9969
5.4163e+01,-71.0719
5.4684e+01,-68.9969
5.5205e+01,-66.9219
5.5726e+01,-67.4906
5.6246e+01,-68.0594
5.6767e+01,-69.5656
5.7288e+01,-71.0719
5.7809e+01,-68.9969
5.8330e+01,-66.9219
5.8850e+01,-67.9781
5.9371e+01,-69.0312
5.9892e+01,-67.9781
6.0413e+01,-66.9219
6.0934e+01,-67.9781
6.1454e+01,-69.0312
6.1975e+01,-69.0312
6.2496e+01,-69.0312
6.3017e+01,-67.2719
6.3538e+01,-65.5094
6.4058e+01,-70.2812
6.4579e+01,-75.05
6.5100e+01,-70.2812
6.5621e+01,-65.5094
6.6142e+01,-70.2812
6.6662e+01,-75.05
6.7183e+01,-73.0625
6.7704e+01,-71.0719
6.8225e+01,-71.0719
6.8746e+01,-71.0719
6.9266e+01,-70.0531
6.9787e+01,-69.0312
7.0308e+01,-67.9781
7.0829e+01,-66.9219
7.1350e+01,-67.9781
7.1870e+01,-69.0312
7.2391e+01,-70.0531
7.2912e+01,-71.0719
7.3433e+01,-68.9969
7.3954e+01,-66.9219
7.4474e+01,-70.9875
7.4995e+01,-75.05
7.5516e+01,-72.0406
7.6037e+01,-69.0312
7.6558e+01,-69.0312
7.7078e+01,-69.0312
7.7599e+01,-70.0531
7.8120e+01,-71.0719
7.8641e+01,-71.0719
7.9162e+01,-71.0719
7.9682e+01,-70.0531
8.0203e+01,-69.0312
8.0724e+01,-70.0531
8.1245e+01,-71.0719
8.1766e+01,-69.7969
8.2286e+01,-68.5187
8.2807e+01,-69.7969
8.3328e+01,-71.0719
8.3849e+01,-68.2906
8.4370e+01,-65.5094
8.4890e+01,-71.7844
8.5411e+01,-78.0594
8.5932e+01,-73.5469
8.6453e+01,-69.0312
8.6974e+01,-72.0406
8.7494e+01,-75.05
8.8015e+01,-71.5563
8.8536e+01,-68.0594
8.9057e+01,-68.5469
8.9578e+01,-69.0312
9.0098e+01,-72.0406
9.0619e+01,-75.05
9.1140e+01,-70.9875
9.1661e+01,-66.9219
9.2182e+01,-68.9969
9.2702e+01,-71.0719
9.3223e+01,-74.5656
9.3744e+01,-78.0594
9.4265e+01,-71.7844
9.4786e+01,-65.5094
9.5306e+01,-70.2812
9.5827e+01,-75.05
9.6348e+01,-72.0406
9.6869e+01,-69.0312
9.7390e+01,-72.0406
9.7910e+01,-75.05
9.8431e+01,-75.05
9.8952e+01,-75.05
9.9473e+01,-70.9875
9.9994e+01,-66.9219
1.0051e+02,-70.9875
1.0104e+02,-75.05
1.0156e+02,-72.0406
1.0208e+02,-69.0312
1.0260e+02,-70.0531
1.0312e+02,-71.0719
1.0364e+02,-68.2906
1.0416e+02,-65.5094
1.0468e+02,-68.2906
1.0520e+02,-71.0719
1.0572e+02,-69.7969
1.0624e+02,-68.5187
1.0676e+02,-69.7969
1.0728e+02,-71.0719
1.0781e+02,-71.0719
1.0833e+02,-71.0719
1.0885e+02,-73.0625
1.0937e+02,-75.05
1.0989e+02,-70.9875
1.1041e+02,-66.9219
1.1093e+02,-68.9969
1.1145e+02,-71.0719
1.1197e+02,-73.0625
1.1249e+02,-75.05
1.1301e+02,-70.9875
1.1353e+02,-66.9219
1.1406e+02,-68.9969
1.1458e+02,-71.0719
1.1510e+02,-68.9969
1.1562e+02,-66.9219
1.1614e+02,-69.4813
1.1666e+02,-72.0406
1.1718e+02,-70.5375
1.1770e+02,-69.0312
1.1822e+02,-72.0406
1.1874e+02,-75.05
1.1926e+02,-71.5563
1.1978e+02,-68.0594
1.2030e+02,-68.5469
1.2083e+02,-69.0312
1.2135e+02,-72.0406
1.2187e+02,-75.05
1.2239e+02,-71.5563
1.2291e+02,-68.0594
1.2343e+02,-67.4906
1.2395e+02,-66.9219
1.2447e+02,-69.4813
1.2499e+02,-72.0406
1.2551e+02,-70.5375
1.2603e+02,-69.0312
1.2655e+02,-70.0531
1.2708e+02,-71.0719
1.2760e+02,-70.0531
1.2812e+02,-69.0312
1.2864e+02,-70.0531
1.2916e+02,-71.0719
1.2968e+02,-69.5656
1.3020e+02,-68.0594
1.3072e+02,-67.4906
1.3124e+02,-66.9219
1.3176e+02,-67.4906
1.3228e+02,-68.0594
1.3280e+02,-68.5469
1.3332e+02,-69.0312
1.3385e+02,-69.0312
1.3437e+02,-69.0312
1.3489e+02,-70.0531
1.3541e+02,-71.0719
