Phase difference [degree],output [mV]
0,-903
0,-901
0,-905
15,-1020
15,-1050
15,-1040
30,-1270
30,-1250
30,-1260
45,-1340
45,-1370
45,-1330
60,-1320
60,-1330
60,-1310
75,-1200
75,-1180
75,-1210
90,-1100
90,-1090
90,-1090
105,-939
105,-945
105,-942
120,-697
120,-700
120,-702
135,-270
135,-283
135,-281
150,277
150,272
150,247
165,622
165,631
165,633
180,756
180,758
180,739
195,898
195,892
195,897
210,1100
210,1100
210,1090
225,1280
225,1290
225,1290
240,1250
240,1240
240,1260
255,1050
255,1080
255,1070
270,907
270,904
270,910
285,865
285,832
285,845
300,524
300,516
300,533
315,108
315,102
315,114
330,-339
330,-344
330,-334
345,-731
345,-744
345,-737
