거리(cm),홀전압(mV)
0.25,12.5
0.25,12.2
0.25,11.2
0.25,12.1
0.25,10.2
0.5,11.1
0.5,11.5
0.5,11.7
0.5,11.5
0.5,12.4
1,8.33
1,8.91
1,9.5
1,10.7
1,10.8
1.5,8.76
1.5,8.13
1.5,9.08
1.5,9.64
1.5,8.81
2,8.12
2,8.6
2,8.89
2,7.7
2,8.29
3,7.8
3,8.74
3,7.75
3,7.45
3,6.9
4,7.09
4,7.9
4,8.56
4,8.15
4,6.61
5,6.69
5,6.87
5,8.21
5,7.7
5,9.71
6,8.24
6,8.92
6,9.09
6,7.26
6,8.7
7,7.27
7,8.34
7,7.83
7,6.85
7,6.47
8,7.01
8,7.41
8,6.57
8,7.13
8,6.92
9,7.5
9,7.26
9,6.27
9,6.7
9,8.25
10,6.48
10,5.93
10,5.63
10,6.47
10,6.28
