거리(cm),홀전압(mV)
0.25,10.9
0.25,11.9
0.25,12.3
0.25,11.7
0.25,11.1
0.5,9.21
0.5,9.98
0.5,9.78
0.5,9.31
0.5,9.37
1,8.87
1,7.99
1,7.93
1,9.36
1,8.63
1.5,6.82
1.5,8.9
1.5,8.05
1.5,7.97
1.5,7.68
2,7.71
2,7.79
2,7.01
2,7.46
2,7.76
3,7.1
3,8.73
3,7.6
3,7.94
3,8.6
4,6.82
4,8.18
4,8.24
4,7.66
4,7.62
5,7.39
5,6.81
5,6.83
5,6.48
5,6.43
6,6.55
6,6.68
6,6.02
6,7.58
6,7.41
7,7.2
7,8.05
7,6.99
7,6.69
7,7.27
8,6.73
8,6.19
8,6.03
8,7.2
8,6.78
9,6.57
9,5.74
9,7.36
9,5.44
9,6.82
10,7.05
10,5.68
10,7.53
10,8.08
10,6.14
